epoch,train_loss,train_acc,test_loss,test_acc,mask_distance,lr
0,1.7603,33.91,1.5159,42.96,-1.0000,0.100000
1,1.3257,51.42,1.1472,59.43,0.1760,0.100000
2,1.0261,63.15,1.2816,57.89,0.1122,0.100000
3,0.8636,69.60,0.8888,69.72,0.1199,0.100000
4,0.7471,74.18,0.7336,74.30,0.1097,0.100000
5,0.6783,76.60,0.7353,75.51,0.1071,0.100000
6,0.6263,78.32,0.7926,72.75,0.1020,0.100000
7,0.5802,80.09,0.7024,75.58,0.0893,0.100000
8,0.5491,81.04,0.6774,78.18,0.0918,0.100000
9,0.5200,82.18,0.6000,80.01,0.1020,0.100000
10,0.4971,82.79,0.6531,79.00,0.0918,0.100000
11,0.4822,83.58,0.6269,79.78,0.1071,0.100000
12,0.4667,84.02,0.6522,79.29,0.0944,0.100000
13,0.4473,84.71,0.6636,78.90,0.0944,0.100000
14,0.4337,85.00,0.6392,79.43,0.1071,0.100000
15,0.4217,85.36,0.6506,79.64,0.1250,0.100000
16,0.4144,85.65,0.5458,81.27,0.1224,0.100000
17,0.4088,85.79,0.6118,80.49,0.1250,0.100000
18,0.3969,86.18,0.5186,82.89,0.1199,0.100000
19,0.3873,86.64,0.5701,80.92,0.0995,0.100000
20,0.3800,86.77,0.7168,78.97,0.1071,0.100000
21,0.3681,87.27,0.6523,80.50,0.1071,0.100000
22,0.3673,87.27,0.5675,80.85,0.1020,0.100000
23,0.3601,87.50,0.5890,81.12,0.1301,0.100000
24,0.3546,87.72,0.5758,82.09,0.1097,0.100000
25,0.3424,88.18,0.6451,79.93,0.1199,0.100000
26,0.3453,87.90,0.5278,82.52,0.1097,0.100000
27,0.3367,88.28,0.5361,82.87,0.1097,0.100000
28,0.3321,88.42,0.5291,82.63,0.1122,0.100000
29,0.3305,88.41,0.5869,81.69,0.1046,0.100000
30,0.3280,88.58,0.5127,83.72,0.1199,0.100000
31,0.3204,88.97,0.4461,85.51,0.1250,0.100000
32,0.3152,89.02,0.5293,83.71,0.1122,0.100000
33,0.3093,89.21,0.6772,80.73,0.1276,0.100000
34,0.3083,89.36,0.6223,81.87,0.1199,0.100000
35,0.3058,89.35,0.5824,81.95,0.1327,0.100000
36,0.3036,89.55,0.4880,83.86,0.1327,0.100000
37,0.2956,89.70,0.6196,80.53,0.1224,0.100000
38,0.2961,89.76,0.4763,84.72,0.1327,0.100000
39,0.2932,89.77,0.4833,84.09,0.1148,0.100000
40,0.2926,89.78,0.4948,84.31,0.1224,0.100000
41,0.2913,89.87,0.5523,82.66,0.1224,0.100000
42,0.2892,89.91,0.7651,77.39,0.1378,0.100000
43,0.2873,90.10,0.4782,84.93,0.1276,0.100000
44,0.2814,90.22,0.5021,84.54,0.1352,0.100000
45,0.2803,90.22,0.4360,85.73,0.1250,0.100000
46,0.2773,90.33,0.4995,84.56,0.1352,0.100000
47,0.2699,90.56,0.4833,85.70,0.1224,0.100000
48,0.2753,90.41,0.5087,84.99,0.1173,0.100000
49,0.2710,90.56,0.5178,84.02,0.1173,0.100000
50,0.2758,90.48,0.5664,83.14,0.1250,0.100000
51,0.2663,90.73,0.4951,85.25,0.1224,0.100000
52,0.2653,90.66,0.4528,85.46,0.1301,0.100000
53,0.2642,90.68,0.4688,84.91,0.1352,0.100000
54,0.2591,90.91,0.5053,84.05,0.1327,0.100000
55,0.2622,90.77,0.4627,84.84,0.1352,0.100000
56,0.2593,90.93,0.4735,85.37,0.1224,0.100000
57,0.2588,91.03,0.5362,83.47,0.1505,0.100000
58,0.2579,91.06,0.3996,86.76,0.1301,0.100000
59,0.2542,91.21,0.5121,84.00,0.1454,0.100000
60,0.2534,91.20,0.5294,84.47,0.1250,0.100000
61,0.2505,91.20,0.4755,85.22,0.1352,0.100000
62,0.2458,91.35,0.5370,84.19,0.1224,0.100000
63,0.2493,91.28,0.4730,85.22,0.1454,0.100000
64,0.2523,91.20,0.4958,84.92,0.1327,0.100000
65,0.2531,91.06,0.5342,83.94,0.1352,0.100000
66,0.2526,91.23,0.5031,85.18,0.1378,0.100000
67,0.2426,91.52,0.4807,85.44,0.1301,0.100000
68,0.2489,91.37,0.4863,85.50,0.1327,0.100000
69,0.2461,91.42,0.6448,80.68,0.1352,0.100000
70,0.2427,91.47,0.4719,85.85,0.1454,0.100000
71,0.2440,91.58,0.5219,83.94,0.1403,0.100000
72,0.2355,91.82,0.5165,84.22,0.1250,0.100000
73,0.2423,91.53,0.6047,82.82,0.1327,0.100000
74,0.2457,91.35,0.4171,86.81,0.1378,0.100000
75,0.2363,91.70,0.6405,81.54,0.1276,0.100000
76,0.2427,91.48,0.4775,84.86,0.1301,0.100000
77,0.2383,91.50,0.4389,86.65,0.1276,0.100000
78,0.2352,91.77,0.5065,84.66,0.1352,0.100000
79,0.2378,91.66,0.5622,82.85,0.1505,0.100000
80,0.1484,94.94,0.2943,90.73,0.0536,0.010000
81,0.1150,96.17,0.2965,90.80,0.0281,0.010000
82,0.1043,96.54,0.2989,91.03,0.0357,0.010000
83,0.0966,96.86,0.2979,91.07,0.0255,0.010000
84,0.0924,96.92,0.2987,91.06,0.0332,0.010000
